season_id,prize_id,prize_name,prize_quantity,prize_value
1,1,Weather XM H2 Station,1,1
1,2,mybacs dailybacs,10,1
1,3,5555 charge coins,9,1
1,4,Cudis rings,5,1
1,5,BrushO Toothbrushes,10,1
1,6,Tesla & 50k charge coins,1,1
