hashed_user_id,tickets,claimableAmount,Weather XM H2 Station,mybacs dailybacs,5555 charge coins,Cudis rings,BrushO Toothbrushes,Tesla & 50k charge coins
7a6860c67c3953ae737ef691736ee66d3fc26f1ee40be581e931f71b2a146e61,3508657,1,0,0,0,0,1,0
0a30479798f71e68d2163e43800096a3fa7fd31ebf39f714f3897c68ebe692af,2795454,1,0,0,0,1,0,0
d4db8c21451002b2d91d00a7d4e6d3111678dd3408fe2f048bfe80027f0d1561,33082,1,0,0,0,1,0,0
21975e567b2ff1d60c349dde991ec6f355213b0e685db8823e393a0673e8c691,31210,1,0,0,1,0,0,0
5969cc3ddd1137c2de5e8ca199b1c1297a9d67a5efa302bcc06382f0d32cd2b9,28364,1,0,1,0,0,0,0
61516ba509a9132becd02fc365eec23b34292e489f596a92211919472831c8e2,21800,1,0,1,0,0,0,0
aecc58eb21de7b2b4ea2fb89bbcc5b5680b23c2f3433265ca8858ba0996dbe8f,21125,1,0,0,1,0,0,0
6052cc6abdf2e570981bf96454c8a0fab3548b6da9aaeb7fee160079eede1c8e,14951,1,0,0,0,0,1,0
5771af976786eacccfe3995f007ec40b9f67f0f05b905280a77a356836c0395b,13149,1,0,1,0,0,0,0
280b7f5cbf43b082e94e5e40479865a866262419f2ea9bc2370459f3add941bf,12341,1,0,1,0,0,0,0
8391f573c15a5cd633dcfb10430324700f688dea5fcbbc9253942e2ba144c5e4,9326,1,0,0,0,0,1,0
5ad6e5b0845e57a669c23b548df0d8cecd52fca2975915595ecc643eb9f1499c,2490,1,0,1,0,0,0,0
28b933d9675c574fe2f2eaca2a6aef9689d758d736cf7c679df852b6390745fc,1620,1,0,1,0,0,0,0
8b988ea2b8ebc886904241f09f840c223d4ca3a7c18d560d8bc8f97b5ba4631b,880,1,0,0,1,0,0,0
9a1980a348be3f2648bdf1db87ff5d993c0d915e6401f17f44dd0b158d755b2c,800,1,0,0,1,0,0,0
b54fe48d634d18df2eab811c8433deb48ff378018d6946f0e3ad825a3ae571c0,800,1,0,0,0,0,1,0
b5178ca3f51c641e3b6f191e4ad4436d56d834135b32f7dc3fb2511f9cd3bafa,300,1,0,0,0,0,1,0
7d9e7c7c986999088cca0e1fbee33f5fc28cf4f35ef720209bb31b9f676b5dd7,43176,1,0,1,0,0,0,0
403860f6056d77f4baf87cea3314b08f228bc28fa1a9158f8c488811cc9e96a9,52227,1,0,0,0,0,1,0
727d807d7d4d7ec60d63c8f6d15b904f007cd73d1d25c29b4d0346cd361a283d,53907,1,0,1,0,0,0,0
864f844e9140323f97a6c0c5b2b05c121f7172a9795c1c1db81e1abefdcd39b2,415148,1,0,0,1,0,0,0
bff0c36f343d9e001359e6b073feb773f181ce7ce6007347a002934e0ef2d6fb,1884218,1,0,0,0,1,0,0
50b1a00be87c3bcb06b712e08473694d2501ea75c57640f8fad9cfbedb3db14b,1439148,1,0,0,0,1,0,0
eb3bfcf5bede68da91b2794240b9ca9848b16911ea12fd0d6c9e339ac3e406e9,702537,1,1,0,0,0,0,0
31f7d434829a3acbab0047e29a7699b1e3083912d805130133d36c889b0d93a8,683187,1,0,0,0,0,1,0
a551521f8aac86b1984ea4efcc328054fbd08d5defae7def3fc228375ff00866,641168,1,0,0,1,0,0,0
93155f179fea5d6df121c343bb9c5f78cf6b5ffd467a1d7832500621a2076263,627970,1,0,0,0,0,1,0
50a39f5589c25c7609f4a6fe9ac437bd77ca8562e26f073ecfe8aa4bec285db6,385199,1,0,1,0,0,0,0
b88118ab53a09d23eae176e3bf6df1f60b185607daecafcd39afe6db9e3ad1dd,59311,1,0,0,0,0,0,1
2726295d050f1d2d1bafdbd78ae910d32c2575d5f892b031e668a664424d4d00,236951,1,0,0,1,0,0,0
6e7678948b0aaf9c4d74a41975a15421872d8fb345cc107b605f95a55be97fd6,112719,1,0,0,1,0,0,0
c83b9c43bce90b442e9ad25f79bd0caaf0c298536e0d79ba99eae90f83a71554,112198,1,0,0,0,0,1,0
8f864859b7903a0d3f42a218e9721ced9d008a41a08ed066776f3f57c91befda,94893,1,0,0,1,0,0,0
0193183a99bba686e6e4b457328707b433fc2995976297a84d4dfeed38ea9920,73830,1,0,1,0,0,0,0
4b640a0253b8b2edd9978942b40d26c3cebda10a695e854ab719efbd9fc9ade6,61977,1,0,0,0,1,0,0
fa82174e11c37fd5c2a7cfc5dd706bbcdb964b75c93659fff9a0881486f43d00,240,1,0,0,0,0,1,0
